cve_periodo,cve_periodo_alta,dat_fecha_disposicion,dat_fecha_vencimiento,dat_monto_credito_dispuesto,dat_responsabilidad_total,dat_saldo_princ_inicio,dat_saldo_princ_fin,dat_monto_pago_exigible_acred,dat_monto_pagado_efec_acred,dat_monto_intereses_pagados,dat_tasa_bruta_periodo,dat_num_vencidos,cve_situacion_credito,id_disposicion,ventana
201009,200908,200908,201208,0,1430118,1420067,1368143,62497,68641,15517,13.41,17,1,304007220050MM980729FD7000_341,7
201010,200908,200908,201208,0,1377312,1368143,1368143,131767,0,15411,13.39,48,1,304007220050MM980729FD7000_341,8
201011,200908,200908,201208,0,1392722,1368143,1316504,132776,68656,14304,13.36,49,1,304007220050MM980729FD7000_341,9
201012,200908,200908,201208,0,1340106,1316504,1208887,63595,138067,14153,13.38,18,1,304007220050MM980729FD7000_341,10
201101,200908,200908,201208,0,1217419,1208887,1208887,132814,0,13540,13.38,49,1,304007220050MM980729FD7000_341,11
201102,200908,200908,201208,0,1230959,1208887,1154600,131637,69066,11673,13.35,47,1,304007220050MM980729FD7000_341,12
201103,200908,200908,201208,0,1174424,1154600,1154600,202070,0,12244,13.34,78,1,304007220050MM980729FD7000_341,13
201104,200908,200908,201208,0,1186669,1154600,1044457,133152,139711,11228,13.33,47,1,304007220050MM980729FD7000_341,14
201105,200908,200908,201208,0,1063036,1044457,987781,130850,72200,10950,13.35,19,1,304007220050MM980729FD7000_341,15
201106,200908,200908,201208,0,1003629,987781,987781,200884,0,9975,13.35,49,1,304007220050MM980729FD7000_341,16
201107,200908,200908,201208,0,1013604,987781,931570,204036,67475,9632,13.34,80,1,304007220050MM980729FD7000_341,17
201108,200908,200908,201208,0,957737,931570,873670,203347,72199,8945,13.31,50,1,304007220050MM980729FD7000_341,18
201109,200908,200908,201208,0,898080,873670,757003,133562,140597,7995,13.29,18,1,304007220050MM980729FD7000_341,19
201110,200908,200908,201208,0,770315,757003,697956,134196,67722,7562,13.28,49,1,304007220050MM980729FD7000_341,20
201111,200908,200908,201208,0,710155,697956,697956,204334,0,6660,13.3,79,1,304007220050MM980729FD7000_341,21
201112,200908,200908,201208,0,716815,697956,578086,135432,134893,6179,13.3,47,1,304007220050MM980729FD7000_341,22
201201,200908,200908,201208,0,588101,578086,578086,205912,0,5471,13.29,78,1,304007220050MM980729FD7000_341,23
201202,200908,200908,201208,0,593571,578086,453767,134594,140759,4464,13.28,16,1,304007220050MM980729FD7000_341,24
201203,200908,200908,201208,0,461415,453767,453767,205064,0,4029,13.28,47,1,304007220050MM980729FD7000_341,25
201204,200908,200908,201208,0,465444,453767,327880,136938,139121,3199,13.26,49,1,304007220050MM980729FD7000_341,26
201205,200908,200908,201208,0,333376,327880,327880,207164,0,2555,13.24,80,1,304007220050MM980729FD7000_341,27
201206,200908,200908,201208,0,335931,327880,133312,68075,208465,8928,13.26,18,1,304007220050MM980729FD7000_341,28
201207,200908,200908,201208,0,134196,133312,133242,135691,70,0,13.27,19,1,304007220050MM980729FD7000_341,29
201208,200908,200908,201208,0,135184,133242,1,2239,137542,2238,13.28,18,1,304007220050MM980729FD7000_341,30
201209,200908,200908,201208,0,1,1,0,1,1,0,13.28,0,1,304007220050MM980729FD7000_341,31
200909,200906,200904,200910,0,1985080,1985080,1993168,1985351,0,0,10.89,0,1,304007220050CS960311FT3000_326,-5
200910,200906,200904,200910,0,1993168,1993168,0,1993439,1995071,1903,10.91,0,2,304007220050CS960311FT3000_326,-4
200909,200906,200904,201002,0,8582720,8582720,8617691,8583893,0,0,10.89,0,1,304007220050CS960311FT3002_327,-5
200910,200906,200904,201002,0,8617691,8617691,8654135,8618861,0,0,10.91,0,1,304007220050CS960311FT3002_327,-4
200911,200906,200904,201002,0,8654135,8654135,4963636,8655316,3726019,35520,10.92,0,1,304007220050CS960311FT3002_327,-3
200912,200906,200904,201002,0,4963636,4963636,4984713,4964315,0,0,10.93,0,1,304007220050CS960311FT3002_327,-2
201001,200906,200904,201002,0,4984713,4984713,5005877,4985396,0,0,10.93,0,1,304007220050CS960311FT3002_327,-1
201002,200906,200904,201002,0,5005877,5005877,0,5006563,5014070,8193,10.91,0,2,304007220050CS960311FT3002_327,0
200909,200906,200905,201002,0,4216717,4216717,4233899,4217293,0,0,10.89,0,1,304007220050CS960311FT3000_328,-5
200910,200906,200905,201002,0,4233899,4233899,4251804,4234474,0,0,10.91,0,1,304007220050CS960311FT3000_328,-4
